DestinationID	DestinationLat	DestinationLng	Name	VenueId	Lat	Lng	Distance	Category	CheckinsCount	UsersCount	TipCount	Rating
1	40.61721344	-74.28831545	Rita's Italian Ice	4bb68cb41344b7136fb69d04	40.616286	-74.292446	363	Ice Cream Shop	797	417	6	8.3
1	40.61721344	-74.28831545	Rahway River Park	4bad1fa0f964a520fb2f3be3	40.62108337	-74.28652864	456	Park	2796	755	12	7.9
1	40.61721344	-74.28831545	Union County Performing Arts Center	4bc07508461576b096227a32	40.61058927	-74.27690228	1214	Theater	954	599	9	8
1	40.61721344	-74.28831545	Rocky's Bar & Grill	4b774b95f964a520b48f2ee3	40.61553002	-74.2835773	442	Bar	426	131	1	7.5
1	40.61721344	-74.28831545	Cubanu Restaurant and Lounge	4a2ab668f964a5203c961fe3	40.606364	-74.274128	1701	Latin American Restaurant	1634	728	32	8.6
1	40.61721344	-74.28831545	Liberty Harley-Davidson	4c0e42c8336220a181decb77	40.6059395	-74.27836918	1510	Motorcycle Shop	492	241	6	8.3
1	40.61721344	-74.28831545	Nancy's Townhouse	4c7187588efc37049baa107d	40.606301	-74.27410022	1708	Pizza Place	677	316	14	8.3
1	40.61721344	-74.28831545	Hamilton Stage For The Performing Arts	50526bd5e4b0a18a1e5c6c2f	40.61161566	-74.2796871	959	Theater	543	192	5	7.6
1	40.61721344	-74.28831545	Clark Commons	5585b8c8498e080169b0fee4	40.63134999	-74.30490328	2107	Business Service	334	114	2	8.8
1	40.61721344	-74.28831545	Munce's Hot Dog Truck	4c0146f26f422d7f3efa401e	40.62056041	-74.28029448	773	Food Truck	476	58	9	7.4
1	40.61721344	-74.28831545	Whole Foods Market	55c51a4b498e6a7ffd5ac998	40.63166015	-74.30419858	2094	Grocery Store	1647	463	7	8.6
1	40.61721344	-74.28831545	7-Eleven	51eff5e5498ecf0cbee90069	40.60815417	-74.28735374	1011	Convenience Store	60	32	2	7.5
1	40.61721344	-74.28831545	Bella Gina's Italian Deli	4c24f78fb7b8a593a2643de8	40.627003	-74.27072415	1843	Italian Restaurant	221	115	5	8.1
1	40.61721344	-74.28831545	Butch Kowal's Tavern	4b988052f964a520db4435e3	40.60632052	-74.2886544	1212	Bar	1505	402	4	7.6
1	40.61721344	-74.28831545	Stewart's Root Beer Drive-In	4bc60954b387d13aa02ec1e8	40.59655226	-74.29022435	2305	American Restaurant	1423	622	21	8.8
1	40.61721344	-74.28831545	The Waiting Room	4b625ad3f964a520e0432ae3	40.60703607	-74.27472481	1613	Pub	3242	1038	31	7.8
1	40.61721344	-74.28831545	La Malinche	4b5b6b36f964a52082fc28e3	40.610389	-74.27700341	1221	Mexican Restaurant	171	81	3	7.6
1	40.61721344	-74.28831545	Dunkin Donuts	4c7935c9794e224b578f6428	40.61656164	-74.28444297	335	Donut Shop	518	158	2	7.1
1	40.61721344	-74.28831545	Panera Bread	5591bcc9498ec5210e489713	40.63227781	-74.30563662	2225	Sandwich Place	608	210	1	8.3
1	40.61721344	-74.28831545	Chipotle Mexican Grill	56098999498ed3f43592d73b	40.63259328	-74.30509807	2223	Mexican Restaurant	287	117	0	8.3
1	40.61721344	-74.28831545	Thailand Restaurant	4b74a866f964a520b5ea2de3	40.63194099	-74.31266069	2630	Thai Restaurant	1654	665	36	8.9
1	40.61721344	-74.28831545	Nunzios II	4e4566e7183849317e6794de	40.61455119	-74.28118263	671	Pizza Place	71	29	4	7.2
1	40.61721344	-74.28831545	Milton Lake Park	4c0c1b5e340720a1312d8993	40.60745241	-74.30086984	1518	Park	786	108	1	8.1
1	40.61721344	-74.28831545	Hand & Stone	4edfb431d3e36374e25ea246	40.62655074	-74.30647882	1853	Spa	505	188	8	7.9
1	40.61721344	-74.28831545	Clark BBQ	4bdcb24a3904a59347564f9e	40.63436372	-74.30257719	2257	BBQ Joint	1168	443	16	8.2
1	40.61721344	-74.28831545	Tarantella's Ristorante	4b806425f964a5200d6e30e3	40.6297796	-74.30997932	2303	Italian Restaurant	1448	552	14	8.2
1	40.61721344	-74.28831545	Firehouse Eatery & Pub	4bb68ad86edc76b0e221311c	40.59867181	-74.29006577	2069	Bar	2118	590	13	7.9
1	40.61721344	-74.28831545	Michaels	55ca7da7498e3537169845af	40.63088514	-74.30499495	2074	Arts & Crafts Store	631	171	1	8
1	40.61721344	-74.28831545	ULTA Beauty	55b28f7c498e0739ed9b76b0	40.63283382	-74.30371732	2171	Cosmetics Shop	169	93	0	8
1	40.61721344	-74.28831545	Physical Graffiti	4c5dd80ad25320a14c3fc77a	40.633872	-74.267661	2546	Tattoo Parlor	404	156	30	8.4
1	40.61721344	-74.28831545	Dairy Queen	4bd4e255637ba59369aff570	40.62219793	-74.30249698	1320	Ice Cream Shop	883	342	6	7.4
1	40.61721344	-74.28831545	Starbucks	5011633de4b05edd99c8b346	40.62742007	-74.30791111	2008	Coffee Shop	1276	252	3	7.8
1	40.61721344	-74.28831545	Retro Fitness	4ecfc1366c2510ace0209ab5	40.62703178	-74.3206122	2939	Gym	6504	408	6	9
1	40.61721344	-74.28831545	Dunkin Donuts	4b8d5019f964a520d3f332e3	40.62217097	-74.30316	1370	Donut Shop	2964	639	9	7.4
1	40.61721344	-74.28831545	Rahway Fried Chicken	50e0b8925262fa77c5080ff7	40.60688273	-74.27403688	1666	American Restaurant	167	41	6	7.6
1	40.61721344	-74.28831545	Hyatt Hills Golf Course	4c125d18a9c220a1c5cc539d	40.63172951	-74.30802569	2320	Golf Course	1447	722	3	8
1	40.61721344	-74.28831545	Beana's Para Siempre	4bdf4afdffdec9280f6eeba1	40.60672749	-74.28809861	1167	Mexican Restaurant	586	341	9	7.3
1	40.61721344	-74.28831545	Paragon Tap & Table	54107cc5498e24decc222713	40.62655073	-74.3067309	1871	Gastropub	909	454	18	7.6
1	40.61721344	-74.28831545	Patria	4d0c5a15801054812f421896	40.610966	-74.27577496	1267	Cocktail Bar	1146	717	25	7.2
1	40.61721344	-74.28831545	Planet Fitness	52b0910911d222eebe231b5c	40.62623211	-74.27285676	1647	Gym / Fitness Center	1488	212	6	7.4
1	40.61721344	-74.28831545	Clark Bar	55c55622498e87a05e0c268b	40.631481	-74.304461	2093	Bar	195	96	2	7.6
1	40.61721344	-74.28831545	Blaze Pizza	55c2b54f498e193501b81a17	40.63317469	-74.30376315	2204	Pizza Place	393	194	6	7.7
1	40.61721344	-74.28831545	Pho Minh's	4d2df0a2e04354813272aced	40.632881	-74.256854	3179	Vietnamese Restaurant	1017	411	27	8.7
1	40.61721344	-74.28831545	CVS Pharmacy	4ccb3ba0ee23a143c0e915a8	40.619163	-74.297364	794	Pharmacy	268	99	0	7
1	40.61721344	-74.28831545	SABOR CARIBEÑO	5117f307d63eafa137c8e4d7	40.634292	-74.267133	2611	Spanish Restaurant	108	35	5	7.9
1	40.61721344	-74.28831545	Phillipo's Pizza and Restaurant	4bec284aa9900f47ada21840	40.62694918	-74.31470003	2478	Pizza Place	293	123	4	7.8
1	40.61721344	-74.28831545	Muscle Maker Grill	4c21247a13c00f47188085de	40.59182797	-74.29508308	2883	American Restaurant	1049	396	3	8.1
1	40.61721344	-74.28831545	White Diamond	4b920f11f964a52061e533e3	40.6300482	-74.30947516	2288	Burger Joint	2191	982	23	7.7
1	40.61721344	-74.28831545	Sabor Peruano Restaurant	4e25c61552b17b2b5dd1c758	40.61014	-74.276717	1257	South American Restaurant	120	56	4	7.1
1	40.61721344	-74.28831545	Meatballs & Brews	538681dc498e9c8a8227e928	40.6065974	-74.2741406	1682	Restaurant	282	94	5	7.3
2	41.09272531	-74.15076327	Ernie's Ice Cream	4c14153577cea593970fd060	41.10266235	-74.14793471	1131	Ice Cream Shop	370	161	6	8.8
2	41.09272531	-74.15076327	The River Palm Terrace	4d042461dc45a093c082e8c6	41.097572	-74.161993	1085	American Restaurant	865	570	12	8.1
