DestinationID	DestinationLat	DestinationLng	Name	VenueId	Lat	Lng	Distance	Category	CheckinsCount	UsersCount	TipCount	Rating
1	29.55011918	-98.32449571	Bahama Bucks	4f328f6619836c91c7e3b843	29.55576223	-98.31488862	1122	Dessert Shop	268	120	9	9
1	29.55011918	-98.32449571	Pho 4 Stars	51c9faff498e1468994a8d72	29.55839559	-98.3228935	934	Vietnamese Restaurant	160	89	11	8.6
1	29.55011918	-98.32449571	Live Oak City Park	4b92d38af964a520591f34e3	29.54439918	-98.33094204	891	Park	960	416	8	8.3
1	29.55011918	-98.32449571	Four Kings Restaurant	4e6bb640483bf2d9e6c52afc	29.55477828	-98.30978241	1516	Sandwich Place	853	161	25	8.8
1	29.55011918	-98.32449571	Bangkok Cuisine	4b58e4b5f964a520627128e3	29.56026819	-98.32838774	1190	Thai Restaurant	772	270	20	8.4
1	29.55011918	-98.32449571	Starbucks	5610438d498eee7919f524b7	29.562037	-98.329285	1405	Coffee Shop	518	140	6	8.5
1	29.55011918	-98.32449571	Walmart	5769a2d0498e200f23756c48	29.55051857	-98.30798149	1599	American Restaurant	171	58	0	8.6
1	29.55011918	-98.32449571	Hearthstone BakeryCafe - Forum	4bdc65e9fed22d7f8af957c9	29.56229876	-98.32712356	1379	Bakery	1127	391	14	8.4
1	29.55011918	-98.32449571	Noy's Bistro	5432ceb6498ed5e70bce68f2	29.55758862	-98.31487792	1248	Thai Restaurant	49	28	2	8.3
1	29.55011918	-98.32449571	Wingstop	4bdb7d0d3904a5932bc24a9e	29.55822711	-98.32269564	919	Wings Joint	858	349	11	8
1	29.55011918	-98.32449571	Dairy Queen	4bad4b23f964a520f1423be3	29.559685	-98.33003461	1192	Ice Cream Shop	496	261	5	8.2
1	29.55011918	-98.32449571	54th Street Restaurant Drafthouse	541b3fe4498e556bb3f9d8fb	29.56264181	-98.33049814	1510	Bar	494	221	13	8.4
1	29.55011918	-98.32449571	Texas Roadhouse	4b3f8e0bf964a520faa825e3	29.56463	-98.3357	1945	Steakhouse	3110	1643	46	8.6
1	29.55011918	-98.32449571	Planet Fitness	511d35207ab44ed5468eeb82	29.55214508	-98.30691667	1717	Gym / Fitness Center	1414	180	4	8.4
