DestinationID	DestinationLat	DestinationLng	Name	VenueId	Lat	Lng	Distance	Category	CheckinsCount	UsersCount	TipCount	Rating
1	37.38472321	-122.0633906	The Sandwich Spot	51ba3fe4498e45d808d6fbc6	37.37920779	-122.0726285	1022	Sandwich Place	985	509	24	9.1
1	37.38472321	-122.0633906	Nijiya Market	4a74137cf964a520b7dd1fe3	37.37882391	-122.0713395	962	Supermarket	5020	1446	31	8.8
1	37.38472321	-122.0633906	Magnolia Park	4bd8509909ecb7139d80487c	37.38991057	-122.0590764	692	Playground	2515	123	1	8.2
1	37.38472321	-122.0633906	Sylvan Park	4b088590f964a5209c0d23e3	37.38165742	-122.0627682	345	Playground	1804	476	7	7.7
1	37.38472321	-122.0633906	In-N-Out Burger	46d36eb9f964a520584a1fe3	37.38044375	-122.0740002	1052	Burger Joint	11560	5975	66	8.5
1	37.38472321	-122.0633906	Stevens Creek Trail	4b930320f964a520af2e34e3	37.39484532	-122.0692937	1241	Trail	4119	813	18	9.4
1	37.38472321	-122.0633906	La Fiesta Restaurant	4596ba31f964a52070401fe3	37.39161118	-122.0728893	1137	Mexican Restaurant	4230	1884	53	8.4
1	37.38472321	-122.0633906	A Slice of New York	4d1ce25f09546dcbc76bd638	37.37510793	-122.0578682	1176	Pizza Place	3717	1357	43	8.4
1	37.38472321	-122.0633906	Best Buy	57e5e61ccd10e2694c3b83cc	37.375612	-122.063138	1014	Electronics Store	225	143	1	8.1
1	37.38472321	-122.0633906	Madras Cafe	4a96e6dcf964a520742720e3	37.3742584	-122.0549615	1383	Indian Restaurant	6098	2311	130	8.7
1	37.38472321	-122.0633906	Mountain View Farmers' Market	4a6356a1f964a520cbc41fe3	37.39336962	-122.0747924	1394	Farmers Market	8772	2528	51	8.8
1	37.38472321	-122.0633906	Sushi Tomi	48750fc1f964a5200f511fe3	37.39187529	-122.0780208	1519	Sushi Restaurant	8629	4494	113	8.8
1	37.38472321	-122.0633906	Mercy-Bush Park	4b23f534f964a520cf5d24e3	37.38862065	-122.0779106	1355	Park	582	156	1	8.4
1	37.38472321	-122.0633906	Sawadee Thai Massage	52f9c87e498e3bedf15b3cf5	37.39687373	-122.0613088	1365	Massage Studio	122	57	4	8.5
1	37.38472321	-122.0633906	"Stevens Creek Trail, Sleeper Trailhead"	4de9a9067d8b6c7a532b3c32	37.37125709	-122.0673572	1539	Trail	802	190	0	8.7
1	37.38472321	-122.0633906	Yoga Belly	4c4b35a99e6dbe9a8711bc0b	37.39050406	-122.0804683	1641	Yoga Studio	2128	242	6	8.9
1	37.38472321	-122.0633906	Gold Star Gymnastics	4af734cef964a520280722e3	37.38671133	-122.0651487	270	Gymnastics Gym	1492	226	3	7.2
1	37.38472321	-122.0633906	La Costeña	4a60dd17f964a52055c11fe3	37.39728372	-122.0611525	1412	Burrito Place	2562	1008	41	8.2
1	37.38472321	-122.0633906	Aachi AappaKadai	514e0aa8e4b039357e04bc47	37.37335319	-122.0524852	1591	Indian Restaurant	1697	789	32	8.5
1	37.38472321	-122.0633906	Eureka! Mountain View	571e7505498e8f1104aaca12	37.39382787	-122.0788594	1702	American Restaurant	1311	814	17	8.7
1	37.38472321	-122.0633906	Srasa Kitchen	5568e13e498eff66670305af	37.39680669	-122.0614309	1356	Asian Restaurant	454	195	2	8.1
1	37.38472321	-122.0633906	Felipe's Market	4d6af1af9d7e2d4306d81bb3	37.37305534	-122.052452	1619	Farmers Market	2128	483	13	8.5
1	37.38472321	-122.0633906	Satsuma Sushi	4a4990bff964a52073ab1fe3	37.37579732	-122.063767	994	Sushi Restaurant	2748	1142	34	7.7
1	37.38472321	-122.0633906	Red Rock Coffee	450af4f4f964a5204c391fe3	37.393803	-122.0788816	1702	Coffee Shop	29405	8529	223	8.6
1	37.38472321	-122.0633906	Casa Lupe	4aaafc09f964a520645820e3	37.371971	-122.057575	1509	Mexican Restaurant	1855	784	20	8.3
1	37.38472321	-122.0633906	City Sports Club	546971b1498ea22120b317de	37.37955149	-122.0750865	1183	Gym / Fitness Center	952	113	2	7.8
1	37.38472321	-122.0633906	Books Inc.	44f6de17f964a52043381fe3	37.39245955	-122.079714	1681	Bookstore	4499	2248	15	8.4
1	37.38472321	-122.0633906	Oren's Hummus Shop	53c2fe37498ef47b8dd63ab1	37.39474053	-122.0786208	1748	Israeli Restaurant	2558	1447	51	8.5
1	37.38472321	-122.0633906	Starbird	575352bb498e2967707f955f	37.37467563	-122.0570913	1249	Fried Chicken Joint	457	270	4	7.8
1	37.38472321	-122.0633906	Pioneer Park	4aee2a3cf964a520a0d221e3	37.38945878	-122.0834684	1852	Park	2785	590	10	8.7
1	37.38472321	-122.0633906	Mahalo Bowl	531a3a99498e3035a28b1ee2	37.38794696	-122.0827597	1750	Food Truck	294	193	4	8.4
1	37.38472321	-122.0633906	Cascal	42d1b680f964a5200c261fe3	37.39124035	-122.0807648	1699	Tapas Restaurant	13229	7571	167	8.3
1	37.38472321	-122.0633906	Gelato Classico	44fc846ff964a52089381fe3	37.39324989	-122.079252	1693	Ice Cream Shop	4888	3247	73	8.3
1	37.38472321	-122.0633906	Shalala	4cffe9a0f7b38cfa9f19ccc3	37.392284	-122.078441	1574	Ramen Restaurant	5637	2409	76	8.1
1	37.38472321	-122.0633906	Cuesta Park	49e3a1c4f964a520a5621fe3	37.37272692	-122.0805516	2021	Playground	5373	1459	16	9.3
1	37.38472321	-122.0633906	Himalayan Kitchen	50ea42aee4b09d1aeb6132ae	37.377246	-122.062784	834	Himalayan Restaurant	1645	849	49	7.4
1	37.38472321	-122.0633906	Bierhaus	4e167a66aeb7e76b4f1ed6fe	37.39136038	-122.080306	1668	Beer Garden	8978	4176	98	8.2
1	37.38472321	-122.0633906	Therapy	49d85e70f964a520bd5d1fe3	37.393237	-122.079486	1710	Boutique	3213	1527	25	8.3
1	37.38472321	-122.0633906	Apple Fitness Center - Hermosa	51689f69498ed38227a22e70	37.38809544	-122.0410691	2009	Gym / Fitness Center	2262	114	0	8.8
1	37.38472321	-122.0633906	Chalateco	4acfaeb3f964a5204dd520e3	37.37556338	-122.061546	1032	Mexican Restaurant	1072	517	18	7.6
1	37.38472321	-122.0633906	Allure Salon	4b3aaacdf964a5204b6c25e3	37.394286	-122.079998	1814	Salon / Barbershop	359	132	9	8.4
1	37.38472321	-122.0633906	La Panotiq	54bd6ecd498eb9a0feb3df3c	37.39202777	-122.0799635	1676	Bakery	1788	840	36	8.2
1	37.38472321	-122.0633906	Bushido Izakaya	4b789dbaf964a52054da2ee3	37.394425	-122.078693	1731	Japanese Restaurant	3007	1619	39	8.2
1	37.38472321	-122.0633906	Blue Line Pizza	517a1b2d498e4a3bbd027084	37.394511	-122.078602	1731	Pizza Place	2714	1553	34	8.2
1	37.38472321	-122.0633906	Erik's DeliCafe	4a5cd877f964a520b5bc1fe3	37.37667118	-122.0764196	1460	Sandwich Place	1133	562	10	7.9
1	37.38472321	-122.0633906	See's Candies	4d8767b5651041bd3e089b30	37.37390417	-122.0576796	1306	Candy Store	513	240	4	7.7
1	37.38472321	-122.0633906	Sakoon Indian Restaurant	4abd683bf964a5201d8a20e3	37.39171067	-122.0800411	1665	Indian Restaurant	4536	2774	56	8
1	37.38472321	-122.0633906	The Old Siam	4b6128c3f964a520850b2ae3	37.37385761	-122.053653	1484	Thai Restaurant	2074	854	18	7.8
1	37.38472321	-122.0633906	Madras Groceries	4b79e4a7f964a520cf182fe3	37.374347	-122.0554292	1352	Grocery Store	1035	387	9	7.7
1	37.38472321	-122.0633906	Massage Envy - Mountain View	4aa72966f964a5200e4c20e3	37.379279	-122.075755	1250	Spa	426	133	6	7.6
2	37.37781502	-122.0845925	Cuesta Park	49e3a1c4f964a520a5621fe3	37.37272692	-122.0805516	669	Playground	5373	1459	16	9.3
2	37.37781502	-122.0845925	House of Bagels	4a747b6af964a52044de1fe3	37.37277265	-122.0874837	616	Bagel Shop	1471	452	18	8.4
2	37.37781502	-122.0845925	The Sandwich Spot	51ba3fe4498e45d808d6fbc6	37.37920779	-122.0726285	1069	Sandwich Place	985	509	24	9.1
2	37.37781502	-122.0845925	In-N-Out Burger	46d36eb9f964a520584a1fe3	37.38044375	-122.0740002	981	Burger Joint	11560	5975	66	8.5
2	37.37781502	-122.0845925	El Camino YMCA	4a77b401f964a52004e51fe3	37.37063467	-122.0794344	920	Gym	5515	476	15	8.3
2	37.37781502	-122.0845925	Nijiya Market	4a74137cf964a520b7dd1fe3	37.37882391	-122.0713395	1177	Supermarket	5020	1446	31	8.8
2	37.37781502	-122.0845925	Garden Fresh Vegetarian Restaurant	4aab0aa8f964a520b05820e3	37.38790245	-122.0889013	1185	Vegetarian / Vegan Restaurant	1458	719	20	8.6
2	37.37781502	-122.0845925	Mahalo Bowl	531a3a99498e3035a28b1ee2	37.38794696	-122.0827597	1139	Food Truck	294	193	4	8.4
2	37.37781502	-122.0845925	Pioneer Park	4aee2a3cf964a520a0d221e3	37.38945878	-122.0834684	1299	Park	2785	590	10	8.7
2	37.37781502	-122.0845925	Erik's DeliCafe	4a5cd877f964a520b5bc1fe3	37.37667118	-122.0764196	734	Sandwich Place	1133	562	10	7.9
2	37.37781502	-122.0845925	Yoga Belly	4c4b35a99e6dbe9a8711bc0b	37.39050406	-122.0804683	1458	Yoga Studio	2128	242	6	8.9
2	37.37781502	-122.0845925	Clarke's Charcoal Broiler	49ee3071f964a52032681fe3	37.38479993	-122.0825212	798	Burger Joint	3589	1614	33	7.8
2	37.37781502	-122.0845925	Harmony Reflexology	52486a9e498ee65817e86903	37.371722	-122.0879	738	Spa	107	55	2	7.7
2	37.37781502	-122.0845925	Mercy-Bush Park	4b23f534f964a520cf5d24e3	37.38862065	-122.0779106	1340	Park	582	156	1	8.4
2	37.37781502	-122.0845925	City Sports Club	546971b1498ea22120b317de	37.37955149	-122.0750865	862	Gym / Fitness Center	952	113	2	7.8
2	37.37781502	-122.0845925	Sushi Tomi	48750fc1f964a5200f511fe3	37.39187529	-122.0780208	1669	Sushi Restaurant	8629	4494	113	8.8
2	37.37781502	-122.0845925	Eagle Park	4aad339bf964a520f95e20e3	37.3890459	-122.0856558	1253	Park	2754	672	11	8.1
2	37.37781502	-122.0845925	Cooper Park	4ad79a9bf964a520ae0c21e3	37.36769101	-122.0729891	1524	Park	598	138	3	8.5
2	37.37781502	-122.0845925	"Stevens Creek Trail, Sleeper Trailhead"	4de9a9067d8b6c7a532b3c32	37.37125709	-122.0673572	1690	Trail	802	190	0	8.7
2	37.37781502	-122.0845925	Cascal	42d1b680f964a5200c261fe3	37.39124035	-122.0807648	1532	Tapas Restaurant	13229	7571	167	8.3
2	37.37781502	-122.0845925	Massage Envy - Mountain View	4aa72966f964a5200e4c20e3	37.379279	-122.075755	798	Spa	426	133	6	7.6
2	37.37781502	-122.0845925	Passage To India Bakery	4b624d7df964a52039412ae3	37.38768768	-122.0871481	1122	Bakery	460	266	8	7.8
2	37.37781502	-122.0845925	Bierhaus	4e167a66aeb7e76b4f1ed6fe	37.39136038	-122.080306	1554	Beer Garden	8978	4176	98	8.2
2	37.37781502	-122.0845925	Ocha Tea Café & Restaurant	4d51c0e64015b1f73e6a73cf	37.37710386	-122.0765886	712	Bubble Tea Shop	3972	1207	44	7.5
2	37.37781502	-122.0845925	Eureka! Mountain View	571e7505498e8f1104aaca12	37.39382787	-122.0788594	1853	American Restaurant	1311	814	17	8.7
2	37.37781502	-122.0845925	Books Inc.	44f6de17f964a52043381fe3	37.39245955	-122.079714	1686	Bookstore	4499	2248	15	8.4
2	37.37781502	-122.0845925	Red Rock Coffee	450af4f4f964a5204c391fe3	37.393803	-122.0788816	1850	Coffee Shop	29405	8529	223	8.6
2	37.37781502	-122.0845925	Pet Food Express	54275f5d498e96bfdf746110	37.371882	-122.088087	729	Pet Store	73	37	0	7.5
2	37.37781502	-122.0845925	Mountain View Farmers' Market	4a6356a1f964a520cbc41fe3	37.39336962	-122.0747924	1936	Farmers Market	8772	2528	51	8.8
2	37.37781502	-122.0845925	Yoga is Youthfulness	4b4a683ff964a520ac8626e3	37.38878515	-122.0826155	1233	Yoga Studio	578	83	5	7.8
2	37.37781502	-122.0845925	Marshalls	4aff5dd2f964a520d33722e3	37.37912292	-122.0752973	835	Department Store	1882	796	4	7.5
2	37.37781502	-122.0845925	European Wax Center	4fb53559e4b00c720c97551b	37.39038315	-122.0945654	1653	Health & Beauty Service	259	77	6	8.2
2	37.37781502	-122.0845925	La Panotiq	54bd6ecd498eb9a0feb3df3c	37.39202777	-122.0799635	1634	Bakery	1788	840	36	8.2
2	37.37781502	-122.0845925	Gelato Classico	44fc846ff964a52089381fe3	37.39324989	-122.079252	1781	Ice Cream Shop	4888	3247	73	8.3
2	37.37781502	-122.0845925	Mountain View Center for the Performing Arts	44251d90f964a520a4311fe3	37.38996972	-122.0818554	1374	Concert Hall	2593	1211	17	7.9
2	37.37781502	-122.0845925	La Fiesta Restaurant	4596ba31f964a52070401fe3	37.39161118	-122.0728893	1852	Mexican Restaurant	4230	1884	53	8.4
2	37.37781502	-122.0845925	Therapy	49d85e70f964a520bd5d1fe3	37.393237	-122.079486	1775	Boutique	3213	1527	25	8.3
2	37.37781502	-122.0845925	Sakoon Indian Restaurant	4abd683bf964a5201d8a20e3	37.39171067	-122.0800411	1598	Indian Restaurant	4536	2774	56	8
2	37.37781502	-122.0845925	Maru Ichi Japanese Noodle House	43d6abd9f964a520502e1fe3	37.39184556	-122.0804	1605	Ramen Restaurant	7302	3777	90	8
2	37.37781502	-122.0845925	Shalala	4cffe9a0f7b38cfa9f19ccc3	37.392284	-122.078441	1700	Ramen Restaurant	5637	2409	76	8.1
2	37.37781502	-122.0845925	Oren's Hummus Shop	53c2fe37498ef47b8dd63ab1	37.39474053	-122.0786208	1956	Israeli Restaurant	2558	1447	51	8.5
2	37.37781502	-122.0845925	Allure Salon	4b3aaacdf964a5204b6c25e3	37.394286	-122.079998	1878	Salon / Barbershop	359	132	9	8.4
2	37.37781502	-122.0845925	Bowl of Heaven Mountain View	54d95f2b498ed032756b9f31	37.379699	-122.074537	913	Juice Bar	405	200	4	7.5
2	37.37781502	-122.0845925	"Frankie, Johnnie & Luigi Too!"	4d97e847daec224b3d4b3d3e	37.38640208	-122.0857778	961	Italian Restaurant	2629	1564	27	7.5
2	37.37781502	-122.0845925	Le Petit Bistro	4ae3c471f964a520c39821e3	37.3888886	-122.0906668	1344	French Restaurant	397	302	6	7.7
2	37.37781502	-122.0845925	Bushido Izakaya	4b789dbaf964a52054da2ee3	37.394425	-122.078693	1921	Japanese Restaurant	3007	1619	39	8.2
2	37.37781502	-122.0845925	Cuesta Tennis Center	4c6874d7f984a593401d4af4	37.37166308	-122.0820551	720	Tennis Court	888	146	4	7.2
2	37.37781502	-122.0845925	Blue Line Pizza	517a1b2d498e4a3bbd027084	37.394511	-122.078602	1932	Pizza Place	2714	1553	34	8.2
2	37.37781502	-122.0845925	Napoletana Pizzeria	4d3282d8c6cba35dd062227a	37.394137	-122.096904	2118	Italian Restaurant	1354	772	29	8.4
2	37.37781502	-122.0845925	Best Buy	57e5e61ccd10e2694c3b83cc	37.375612	-122.063138	1913	Electronics Store	225	143	1	8.1
3	37.42856196	-121.9686662	Maria Elena's Restaurant	49dd7057f964a52011601fe3	37.426522	-121.97626	708	Mexican Restaurant	1826	1009	26	8.2
3	37.42856196	-121.9686662	Chipotle Mexican Grill	4e4c7bc462e1e5f46718c86c	37.41625591	-121.9548461	1835	Mexican Restaurant	4653	1502	13	8.2
3	37.42856196	-121.9686662	Chick-fil-A First Street	4f0a0f81e4b0e8ed3939cf01	37.41583668	-121.9535519	1947	Fast Food Restaurant	8870	3361	63	8.2
3	37.42856196	-121.9686662	Lower Guadalupe River Trail	51a0de5a498e34730d10116b	37.40082984	-121.955346	3304	Trail	598	128	1	8.5
3	37.42856196	-121.9686662	The Coffee Bean & Tea Leaf	51f693fc498ec3b6cc40ac13	37.41689798	-121.9549572	1776	Coffee Shop	2530	895	32	8
3	37.42856196	-121.9686662	Pin High Golf Center	4b980fb8f964a520c42935e3	37.42388085	-121.970881	556	Golf Course	970	314	4	7.4
3	37.42856196	-121.9686662	El Taco De Oro Truck	4b6b2fc4f964a52050f82be3	37.42598125	-121.9739244	546	Food Truck	513	188	12	7.4
